key,en,kn
home.heroDescription,"Cuisines of Karnataka returns with its fifth season, celebrating the rich culinary heritage, diverse flavours, and timeless food traditions of Karnataka. Bringing together culture and storytelling, the platform showcases the state's iconic recipes and the people behind them. This season features 15 exclusive recipe videos curated and prepared by renowned celebrity chefs, while introducing the exciting concept of food pairing to highlight combinations that elevate the authentic flavours of Karnataka's regional cuisines. The journey continues right here on this microsite, your destination to explore recipes, watch videos, explore Partner Stories and interactive experiences, and discover the unique tastes that make Karnataka's cuisine truly unforgettable.","ಕರ್ನಾಟಕದ ಭೋಜನ ಶೈಲಿಗಳು ತನ್ನ ಐದನೇ ಸೀಸನ್‌ನೊಂದಿಗೆ ಮರಳಿ ಬಂದಿದೆ, ಕರ್ನಾಟಕದ ಶ್ರೀಮಂತ ಪಾಕಶಾಸ್ತ್ರ ಪರಂಪರೆ, ವೈವಿಧ್ಯಮಯ ರುಚಿಗಳು ಮತ್ತು ಕಾಲಾತೀತ ಆಹಾರ ಸಂಪ್ರದಾಯಗಳನ್ನು ಆಚರಿಸುತ್ತದೆ. ಸಂಸ್ಕೃತಿ ಮತ್ತು ಕಥೆ ಹೇಳುವಿಕೆಯನ್ನು ಒಟ್ಟುಗೂಡಿಸಿ, ಈ ವೇದಿಕೆಯು ರಾಜ್ಯದ ಪ್ರತಿಷ್ಠಿತ ಪಾಕವಿಧಾನಗಳು ಮತ್ತು ಅವುಗಳ ಹಿಂದಿನ ಜನರನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತದೆ. ಈ ಸೀಸನ್‌ನಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಶೆಫ್‌ಗಳು ಸಂಗ್ರಹಿಸಿ ತಯಾರಿಸಿದ ೧೫ ವಿಶೇಷ ಪಾಕವಿಧಾನ ವೀಡಿಯೊಗಳಿವೆ, ಜೊತೆಗೆ ಕರ್ನಾಟಕದ ಪ್ರಾದೇಶಿಕ ಭೋಜನ ಶೈಲಿಗಳ ನೈಜ ರುಚಿಯನ್ನು ಹೆಚ್ಚಿಸುವ ಸಂಯೋಜನೆಗಳನ್ನು ಎತ್ತಿ ತೋರಿಸಲು ಆಹಾರ ಜೊತೆಯಾಟದ ರೋಚಕ ಪರಿಕಲ್ಪನೆಯನ್ನು ಪರಿಚಯಿಸಲಾಗಿದೆ. ಈ ಪ್ರಯಾಣವು ಇಲ್ಲಿಯೇ ಮೈಕ್ರೋಸೈಟ್‌ನಲ್ಲಿ ಮುಂದುವರಿಯುತ್ತದೆ — ಪಾಕವಿಧಾನಗಳನ್ನು ಅನ್ವೇಷಿಸಲು, ವೀಡಿಯೊಗಳನ್ನು ವೀಕ್ಷಿಸಲು, ಪಾಲುದಾರರ ಕಥೆಗಳು ಮತ್ತು ಸಂವಾದಾತ್ಮಕ ಅನುಭವಗಳನ್ನು ಅನುಭವಿಸಲು ಮತ್ತು ಕರ್ನಾಟಕದ ಭೋಜನ ಶೈಲಿಯನ್ನು ನಿಜಕ್ಕೂ ಮರೆಯಲಾಗದಂತೆ ಮಾಡುವ ವಿಶಿಷ್ಟ ರುಚಿಗಳನ್ನು ಕಂಡುಕೊಳ್ಳಲು ನಿಮ್ಮ ತಾಣ ಇದು."
home.featuredHeading,Season 4 <small>Highlights</small>,ಸೀಸನ್ ೪ <small>ಮುಖ್ಯಾಂಶಗಳು</small>
home.viewAllRecipes,View All Recipes,ಎಲ್ಲಾ ಪಾಕವಿಧಾನಗಳನ್ನು ನೋಡಿ
home.galleryHeading,Gallery <small>Featured Moments</small>,ಗ್ಯಾಲರಿ <small>ವಿಶೇಷ ಕ್ಷಣಗಳು</small>
home.viewAllPhotos,View All Photos,ಎಲ್ಲಾ ಫೋಟೋಗಳನ್ನು ನೋಡಿ
home.episodeTemplate,Episode {number},ಎಪಿಸೋಡ್ {number}
home.clickToLoad,Click to load video,ವೀಡಿಯೊ ಲೋಡ್ ಮಾಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
recipes.pageTitle,Recipes,ಪಾಕವಿಧಾನಗಳು
recipes.seasonTabTemplate,Season {number},ಸೀಸನ್ {number}
recipes.episodeLabelTemplate,Episode {number},ಎಪಿಸೋಡ್ {number}
recipes.clickToLoad,Click to load video,ವೀಡಿಯೊ ಲೋಡ್ ಮಾಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
recipes.playAriaTemplate,Play Episode {number},ಎಪಿಸೋಡ್ {number} ಪ್ಲೇ ಮಾಡಿ
recipes.thumbnailAltTemplate,Episode {number} thumbnail,ಎಪಿಸೋಡ್ {number} ಥಂಬ್‌ನೇಲ್
recipes.youtubeTitleTemplate,YouTube video player - Episode {number},ಯೂಟ್ಯೂಬ್ ವೀಡಿಯೊ ಪ್ಲೇಯರ್ - ಎಪಿಸೋಡ್ {number}
recipes.jumpPanelTitle,Jump to Episode,ಎಪಿಸೋಡ್‌ಗೆ ಹೋಗಿ
recipes.searchPlaceholder,Search episodes...,ಎಪಿಸೋಡ್‌ಗಳನ್ನು ಹುಡುಕಿ...
recipes.clearSearchAria,Clear search,ಹುಡುಕಾಟ ತೆರವುಗೊಳಿಸಿ
recipes.jumpAria,Jump to episode,ಎಪಿಸೋಡ್‌ಗೆ ಹೋಗಿ
recipes.closePanelAria,Close panel,ಪ್ಯಾನೆಲ್ ಮುಚ್ಚಿರಿ
recipes.videos.0.episodes.0.title,White Chicken Pulao | Karnataka-Style Recipe,ವೈಟ್ ಚಿಕನ್ ಪುಲಾವ್ | ಕರ್ನಾಟಕ ಶೈಲಿಯ ಪಾಕವಿಧಾನ
recipes.videos.0.episodes.1.title,Naati Koli Bassaru | Authentic Country Chicken Curry,ನಾಟಿ ಕೋಳಿ ಬಸ್ಸಾರು | ಅಥೆಂಟಿಕ್ ನಾಟಿ ಚಿಕನ್ ಕರಿ
recipes.videos.0.episodes.2.title,The Easiest Mutton Fry Ever,ಸುಲಭವಾದ ಮಟನ್ ಫ್ರೈ
recipes.videos.0.episodes.3.title,Authentic Mutton Kheema Vade,ಅಥೆಂಟಿಕ್ ಮಟನ್ ಖೀಮಾ ವಡೆ
recipes.videos.0.episodes.4.title,Bengaluru's Famous Kaal Soup,ಬೆಂಗಳೂರಿನ ಪ್ರಸಿದ್ಧ ಕಾಲ್ ಸೂಪ್
recipes.videos.0.episodes.5.title,Kanakapura Style River Fish Curry,ಕನಕಪುರ ಶೈಲಿಯ ನದಿ ಮೀನಿನ ಕರಿ
recipes.videos.0.episodes.6.title,Kollegal Style Mutton Pulao with Nalli,ಕೊಳ್ಳೇಗಾಲ ಶೈಲಿಯ ಮಟನ್ ಪುಲಾವ್ ನಲ್ಲಿ ಸಹಿತ
recipes.videos.0.episodes.7.title,Kadle Manoli | Ivy Gourd & Black Chickpeas,ಕಡ್ಲೆ ಮನೋಳಿ | ತೊಂಡೆಕಾಯಿ ಮತ್ತು ಕಡ್ಲೆಕಾಳು
recipes.videos.0.episodes.8.title,Deepavali Special Batani Kurma,ದೀಪಾವಳಿ ವಿಶೇಷ ಬಟಾಣಿ ಕುರ್ಮಾ
recipes.videos.0.episodes.9.title,Raichur Tuntapur Chicken,ರಾಯಚೂರು ತುಂಟಾಪುರ್ ಚಿಕನ್
recipes.videos.0.episodes.10.title,Crispy Bonda + Dal Soup,ಕ್ರಿಸ್ಪಿ ಬೊಂಡಾ + ದಾಲ್ ಸೂಪ್
recipes.videos.0.episodes.11.title,Cucumber Curry Karnataka Style,ಸೌತೆಕಾಯಿ ಪಲ್ಯ ಕರ್ನಾಟಕ ಶೈಲಿ
recipes.videos.0.episodes.12.title,Karnataka's Beloved Avarekalu Curry,ಕರ್ನಾಟಕದ ಮೆಚ್ಚಿನ ಅವರೆಕಾಳು ಕರಿ
recipes.videos.0.episodes.13.title,Hurugadle Nippattu Festive Snack,ಹುರುಗಡಲೆ ನಿಪ್ಪಾಟ್ಟು ಹಬ್ಬದ ತಿಂಡಿ
recipes.videos.0.episodes.14.title,Traditional Crunchy Jackfruit Snack | Halasina Mulka,ಸಾಂಪ್ರದಾಯಿಕ ಕ್ರಂಚಿ ಹಲಸಿನ ತಿಂಡಿ | ಹಲಸಿನ ಮುಲ್ಕಾ
recipes.videos.1.episodes.0.title,Spicy Mutton Nalli Fry: The Unexpected Star,ಮಸಾಲೆ ಮಟನ್ ನಲ್ಲಿ ಫ್ರೈ: ಅನಿರೀಕ್ಷಿತ ಸ್ಟಾರ್
recipes.videos.1.episodes.1.title,This Smoked Boneless Chicken Fry,ಸ್ಮೋಕ್ಡ್ ಬೋನ್‌ಲೆಸ್ ಚಿಕನ್ ಫ್ರೈ
recipes.videos.1.episodes.2.title,Mysuru Mutton Chops,ಮೈಸೂರು ಮಟನ್ ಚಾಪ್ಸ್
recipes.videos.1.episodes.3.title,Saoji-Style Mutton Khara Boti,ಸಾವ್ಜಿ ಶೈಲಿಯ ಮಟನ್ ಖಾರ ಬೋಟಿ
recipes.videos.1.episodes.4.title,Spicy & Tangy Prawn Pulimunchi,ಮಸಾಲೆ ಮತ್ತು ಹುಳಿ ಸೀಗಡಿ ಪುಲಿಮುಂಚಿ
recipes.videos.1.episodes.5.title,Beetroot Veg Soya Pulao,ಬೀಟ್‌ರೂಟ್ ವೆಜ್ ಸೋಯಾ ಪುಲಾವ್
recipes.videos.1.episodes.6.title,How to Make Raw Banana Curry,ಬಾಳೆಕಾಯಿ ಪಲ್ಯ ಮಾಡುವ ವಿಧಾನ
recipes.videos.1.episodes.7.title,Hubballi Mutton Green Curry,ಹುಬ್ಬಳ್ಳಿ ಮಟನ್ ಗ್ರೀನ್ ಕರಿ
recipes.videos.1.episodes.8.title,Dandeli Chicken Kadai Roast,ಡಾಂಡೇಲಿ ಚಿಕನ್ ಕಡಾಯಿ ರೋಸ್ಟ್
recipes.videos.1.episodes.9.title,Easy Malnad Chicken Curry,ಸುಲಭ ಮಲೆನಾಡು ಚಿಕನ್ ಕರಿ
recipes.videos.1.episodes.10.title,Hurali Kaalu Bassaaru,ಹುರಳಿ ಕಾಳು ಬಸ್ಸಾರು
recipes.videos.1.episodes.11.title,Paneer Ghee Roast,ಪನೀರ್ ತುಪ್ಪ ರೋಸ್ಟ್
recipes.videos.1.episodes.12.title,Dasara Special Crisp Karjikai,ದಸರಾ ವಿಶೇಷ ಕರಜಿಕಾಯಿ
recipes.videos.1.episodes.13.title,Akki Kadlebele Payasa,ಅಕ್ಕಿ ಕಡಲೆ ಬೇಳೆ ಪಾಯಸ
recipes.videos.1.episodes.14.title,Perfect Sajjige for Satyanarayana Pooja,ಸತ್ಯನಾರಾಯಣ ಪೂಜೆಗೆ ಸಜ್ಜಿಗೆ
recipes.videos.2.episodes.0.title,Egg Curry with a Twist,ಟ್ವಿಸ್ಟ್ ಜೊತೆ ಎಗ್ ಕರಿ
recipes.videos.2.episodes.1.title,Restaurant Style Chicken Sukka,ರೆಸ್ಟೋರೆಂಟ್ ಸ್ಟೈಲ್ ಚಿಕನ್ ಸುಕ್ಕ
recipes.videos.2.episodes.2.title,Fish Curry from Coastal Karnataka,ಕರಾವಳಿ ಕರ್ನಾಟಕದ ಮೀನಿನ ಕರಿ
recipes.videos.2.episodes.3.title,Coorg Chicken with a Secret Ingredient,ಗುಪ್ತ ಘಟಕಾಂಶದ ಕೊಡಗು ಚಿಕನ್
recipes.videos.2.episodes.4.title,Puneeth Rajkumar's Favourite Biryani,ಪುನೀತ್ ರಾಜ್‌ಕುಮಾರ್ ಅವರ ಮೆಚ್ಚಿನ ಬಿರಿಯಾನಿ
recipes.videos.2.episodes.5.title,Gadagi Mutton Masala Bijapur Style,ಗದಗಿ ಮಟನ್ ಮಸಾಲಾ ವಿಜಾಪುರ ಶೈಲಿ
recipes.videos.2.episodes.6.title,Authentic Ankola Konkani Fish Recipe,ಅಥೆಂಟಿಕ್ ಅಂಕೋಲಾ ಕೊಂಕಣಿ ಮೀನಿನ ಪಾಕವಿಧಾನ
recipes.videos.2.episodes.7.title,Hubli Dharwad Street Style Girmit,ಹುಬ್ಬಳ್ಳಿ-ಧಾರವಾಡ ಸ್ಟ್ರೀಟ್ ಸ್ಟೈಲ್ ಗಿರ್ಮಿಟ್
recipes.videos.2.episodes.8.title,Donna Menasinakai Palya,ದೊಣ್ಣ ಮೆಣಸಿನಕಾಯಿ ಪಲ್ಯ
recipes.videos.2.episodes.9.title,Wadi-style Chicken Biryani,ವಾಡಿ ಶೈಲಿಯ ಚಿಕನ್ ಬಿರಿಯಾನಿ
recipes.videos.2.episodes.10.title,Scrumptious Goli Bajji,ರುಚಿಕರ ಗೋಳಿ ಬಜ್ಜಿ
recipes.videos.2.episodes.11.title,Thalipattu | Akki Rotti,ತಳಿಪಟ್ಟು | ಅಕ್ಕಿ ರೊಟ್ಟಿ
recipes.videos.2.episodes.12.title,Vangi Bath | Brinjal Rice,ವಾಂಗಿ ಭಾತ್ | ಬದನೆಕಾಯಿ ಅನ್ನ
recipes.videos.2.episodes.13.title,Special Chiroti for Dasara,ದಸರಾ ವಿಶೇಷ ಚಿರೋಟಿ
recipes.videos.2.episodes.14.title,Badam Puri,ಬಾದಾಮ್ ಪುರಿ
recipes.videos.3.episodes.0.title,How to make Donne Biryani,ದೊಣ್ಣೆ ಬಿರಿಯಾನಿ ಮಾಡುವ ವಿಧಾನ
recipes.videos.3.episodes.1.title,Donne Biryani | Bengaluru's own biryani,ದೊಣ್ಣೆ ಬಿರಿಯಾನಿ | ಬೆಂಗಳೂರಿನ ಸ್ವಂತ ಬಿರಿಯಾನಿ
recipes.videos.3.episodes.2.title,How to make Nati Koli Masala and Palak Poori,ನಾಟಿ ಕೋಳಿ ಮಸಾಲಾ ಮತ್ತು ಪಾಲಕ್ ಪೂರಿ ಮಾಡುವ ವಿಧಾನ
recipes.videos.3.episodes.3.title,Nati Koli Masala and Palak Poori,ನಾಟಿ ಕೋಳಿ ಮಸಾಲಾ ಮತ್ತು ಪಾಲಕ್ ಪೂರಿ
recipes.videos.3.episodes.4.title,How to make Prawn Fry,ಸೀಗಡಿ ಫ್ರೈ ಮಾಡುವ ವಿಧಾನ
recipes.videos.3.episodes.5.title,Prawn Fry | Spicy tasty appetiser,ಸೀಗಡಿ ಫ್ರೈ | ಮಸಾಲೆ ರುಚಿಕರ ಲಘುತಿಂಡಿ
recipes.videos.3.episodes.6.title,How to make Mutton Pepper Fry,ಮಟನ್ ಪೆಪ್ಪರ್ ಫ್ರೈ ಮಾಡುವ ವಿಧಾನ
recipes.videos.3.episodes.7.title,Mutton Pepper Fry | Lip-smacking favourite,ಮಟನ್ ಪೆಪ್ಪರ್ ಫ್ರೈ | ರುಚಿಕರ ಮೆಚ್ಚಿನ ತಿಂಡಿ
recipes.videos.3.episodes.8.title,How to make Kane Rava Fry,ಕಾಣೆ ರವಾ ಫ್ರೈ ಮಾಡುವ ವಿಧಾನ
recipes.videos.3.episodes.9.title,Kane Rava Fry | Karnataka's coastal favorite,ಕಾಣೆ ರವಾ ಫ್ರೈ | ಕರ್ನಾಟಕದ ಕರಾವಳಿಯ ಮೆಚ್ಚಿನ ತಿಂಡಿ
recipes.videos.3.episodes.10.title,How to make Maddur Vada,ಮದ್ದೂರು ವಡೆ ಮಾಡುವ ವಿಧಾನ
recipes.videos.3.episodes.11.title,Maddur Vada,ಮದ್ದೂರು ವಡೆ
recipes.videos.3.episodes.12.title,How to make Ennegayi,ಎಣ್ಣೆಗಾಯಿ ಮಾಡುವ ವಿಧಾನ
recipes.videos.3.episodes.13.title,Ennegayi | Super hit from North Karnataka,ಎಣ್ಣೆಗಾಯಿ | ಉತ್ತರ ಕರ್ನಾಟಕದ ಸೂಪರ್ ಹಿಟ್
recipes.videos.3.episodes.14.title,How to make Puliyogare,ಹುಣಸೆ ಅನ್ನ ಮಾಡುವ ವಿಧಾನ
gallery.pageTitle,Gallery,ಗ್ಯಾಲರಿ
gallery.lightboxCounterTemplate,{current} / {total},{current} / {total}
partnerStories.pageTitle,Partner Stories,ಪಾಲುದಾರರ ಕಥೆಗಳು
partnerStories.pageDescription,Stories from the brands and partners that make this celebration of Karnataka cuisine possible.,ಕರ್ನಾಟಕದ ಭೋಜನ ಶೈಲಿಯ ಆಚರಣೆಯನ್ನು ಸಾಧ್ಯವಾಗಿಸುವ ಬ್ರ್ಯಾಂಡ್‌ಗಳು ಮತ್ತು ಪಾಲುದಾರರ ಕಥೆಗಳು.
partnerStories.backLabel,← Back to stories,← ಕಥೆಗಳಿಗೆ ಹಿಂತಿರುಗಿ
partnerStories.readLabel,Read story →,ಕಥೆ ಓದಿ →
partnerStories.articles.0.headline,Celebrating the Rich Culinary Heritage of Karnataka,ಕರ್ನಾಟಕದ ಶ್ರೀಮಂತ ಪಾಕಶಾಸ್ತ್ರ ಪರಂಪರೆಯನ್ನು ಆಚರಿಸುವುದು
partnerStories.articles.0.excerpt,"A journey through Karnataka's diverse food traditions, brought to life with the support of our valued partners.","ಕರ್ನಾಟಕದ ವೈವಿಧ್ಯಮಯ ಆಹಾರ ಸಂಪ್ರದಾಯಗಳ ಮೂಲಕ ಒಂದು ಪ್ರಯಾಣ, ನಮ್ಮ ಮೌಲ್ಯಯುತ ಪಾಲುದಾರರ ಬೆಂಬಲದೊಂದಿಗೆ ಜೀವಂತಗೊಳಿಸಲಾಗಿದೆ."
partnerStories.articles.0.body.0,"Karnataka's culinary landscape is as diverse as its geography — from the coastal flavours of Mangalorean cuisine to the rich, aromatic dishes of North Karnataka, every region tells a story through its food.","ಕರ್ನಾಟಕದ ಪಾಕಶಾಸ್ತ್ರ ಭೂದೃಶ್ಯವು ಅದರ ಭೌಗೋಳಿಕತೆಯಷ್ಟೇ ವೈವಿಧ್ಯಮಯವಾಗಿದೆ — ಮಂಗಳೂರಿನ ಪಾಕಶೈಲಿಯ ಕರಾವಳಿ ರುಚಿಗಳಿಂದ ಹಿಡಿದು ಉತ್ತರ ಕರ್ನಾಟಕದ ಶ್ರೀಮಂತ, ಸುಗಂಧಭರಿತ ಭಕ್ಷ್ಯಗಳವರೆಗೆ, ಪ್ರತಿಯೊಂದು ಪ್ರದೇಶವೂ ತನ್ನ ಆಹಾರದ ಮೂಲಕ ಕಥೆಯನ್ನು ಹೇಳುತ್ತದೆ."
partnerStories.articles.0.body.1,"This season, we are proud to partner with brands that share our commitment to celebrating authentic culinary traditions and bringing them to a wider audience. Together, we explore the recipes, techniques, and stories that make Karnataka's cuisine truly unforgettable.","ಈ ಸೀಸನ್‌ನಲ್ಲಿ, ಅಥೆಂಟಿಕ್ ಪಾಕಶಾಸ್ತ್ರ ಸಂಪ್ರದಾಯಗಳನ್ನು ಆಚರಿಸುವ ಮತ್ತು ಅವುಗಳನ್ನು ವ್ಯಾಪಕ ಪ್ರೇಕ್ಷಕರಿಗೆ ತಲುಪಿಸುವ ನಮ್ಮ ಬದ್ಧತೆಯನ್ನು ಹಂಚಿಕೊಳ್ಳುವ ಬ್ರ್ಯಾಂಡ್‌ಗಳೊಂದಿಗೆ ಪಾಲುದಾರಿಕೆ ಹೊಂದಲು ನಾವು ಹೆಮ್ಮೆಪಡುತ್ತೇವೆ. ಒಟ್ಟಾಗಿ, ನಾವು ಕರ್ನಾಟಕದ ಭೋಜನ ಶೈಲಿಯನ್ನು ನಿಜಕ್ಕೂ ಮರೆಯಲಾಗದಂತೆ ಮಾಡುವ ಪಾಕವಿಧಾನಗಳು, ತಂತ್ರಗಳು ಮತ್ತು ಕಥೆಗಳನ್ನು ಅನ್ವೇಷಿಸುತ್ತೇವೆ."
partnerStories.articles.0.body.2,"Join us as we travel through the state, discovering hidden gems and timeless classics that have been passed down through generations.","ನಮ್ಮೊಂದಿಗೆ ರಾಜ್ಯದಾದ್ಯಂತ ಪ್ರಯಾಣಿಸಿ, ತಲೆಮಾರುಗಳ ಮೂಲಕ ರವಾನಿಸಲ್ಪಟ್ಟ ಗುಪ್ತ ರತ್ನಗಳು ಮತ್ತು ಕಾಲಾತೀತ ಕ್ಲಾಸಿಕ್‌ಗಳನ್ನು ಕಂಡುಕೊಳ್ಳಿ."
partnerStories.articles.1.headline,Supporting Local Food Traditions Together,ಸ್ಥಳೀಯ ಆಹಾರ ಸಂಪ್ರದಾಯಗಳನ್ನು ಒಟ್ಟಾಗಿ ಬೆಂಬಲಿಸುವುದು
partnerStories.articles.1.excerpt,How our partners help preserve the authentic flavours and cooking techniques of Karnataka.,ನಮ್ಮ ಪಾಲುದಾರರು ಕರ್ನಾಟಕದ ನೈಜ ರುಚಿಗಳು ಮತ್ತು ಅಡುಗೆ ತಂತ್ರಗಳನ್ನು ಸಂರಕ್ಷಿಸಲು ಹೇಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ.
partnerStories.articles.1.body.0,"Local food traditions are the backbone of Karnataka's culinary identity. From the way spices are tempered to the unique cooking vessels used in different regions, every detail matters.","ಸ್ಥಳೀಯ ಆಹಾರ ಸಂಪ್ರದಾಯಗಳು ಕರ್ನಾಟಕದ ಪಾಕಶಾಸ್ತ್ರದ ಗುರುತಿನ ಬೆನ್ನೆಲುಬಾಗಿವೆ. ಮಸಾಲೆಗಳನ್ನು ಒಗ್ಗರಿಸುವ ವಿಧಾನದಿಂದ ಹಿಡಿದು ವಿವಿಧ ಪ್ರದೇಶಗಳಲ್ಲಿ ಬಳಸುವ ವಿಶಿಷ್ಟ ಅಡುಗೆ ಪಾತ್ರೆಗಳವರೆಗೆ, ಪ್ರತಿಯೊಂದು ವಿವರವೂ ಮುಖ್ಯವಾಗಿದೆ."
partnerStories.articles.1.body.1,"Our partners understand the importance of preserving these traditions while making them accessible to modern audiences. Through their support, we are able to document and share these authentic practices with the world.","ನಮ್ಮ ಪಾಲುದಾರರು ಈ ಸಂಪ್ರದಾಯಗಳನ್ನು ಸಂರಕ್ಷಿಸುವ ಮತ್ತು ಅವುಗಳನ್ನು ಆಧುನಿಕ ಪ್ರೇಕ್ಷಕರಿಗೆ ಪ್ರವೇಶಿಸುವಂತೆ ಮಾಡುವ ಪ್ರಾಮುಖ್ಯತೆಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಂಡಿದ್ದಾರೆ. ಅವರ ಬೆಂಬಲದ ಮೂಲಕ, ನಾವು ಈ ನೈಜ ಅಭ್ಯಾಸಗಳನ್ನು ದಾಖಲಿಸಲು ಮತ್ತು ಜಗತ್ತಿನೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಾಗಿದೆ."
partnerStories.articles.1.body.2,This article highlights some of the key initiatives that help keep Karnataka's food heritage alive and thriving.,ಈ ಲೇಖನವು ಕರ್ನಾಟಕದ ಆಹಾರ ಪರಂಪರೆಯನ್ನು ಜೀವಂತವಾಗಿ ಮತ್ತು ಅಭಿವೃದ್ಧಿ ಹೊಂದುವಂತೆ ಮಾಡುವ ಕೆಲವು ಪ್ರಮುಖ ಉಪಕ್ರಮಗಳನ್ನು ಎತ್ತಿ ತೋರಿಸುತ್ತದೆ.
partnerStories.articles.2.headline,A Journey Through Karnataka's Regional Flavours,ಕರ್ನಾಟಕದ ಪ್ರಾದೇಶಿಕ ರುಚಿಗಳ ಮೂಲಕ ಒಂದು ಪ್ರಯಾಣ
partnerStories.articles.2.excerpt,Exploring the unique taste profiles that define Karnataka's regional cuisines from coast to coast.,ಕರಾವಳಿಯಿಂದ ಕರಾವಳಿಯವರೆಗೆ ಕರ್ನಾಟಕದ ಪ್ರಾದೇಶಿಕ ಭೋಜನ ಶೈಲಿಗಳನ್ನು ವ್ಯಾಖ್ಯಾನಿಸುವ ವಿಶಿಷ್ಟ ರುಚಿ ಪ್ರೊಫೈಲ್‌ಗಳನ್ನು ಅನ್ವೇಷಿಸುವುದು.
partnerStories.articles.2.body.0,"From the fiery heat of North Karnataka curries to the subtle sweetness of coastal preparations, Karnataka offers a spectrum of flavours that is unmatched.","ಉತ್ತರ ಕರ್ನಾಟಕದ ಕರಿಗಳ ಕಾರವಾದ ಮಸಾಲೆಯಿಂದ ಹಿಡಿದು ಕರಾವಳಿ ತಯಾರಿಕೆಗಳ ಸೌಮ್ಯ ಸಿಹಿಯವರೆಗೆ, ಕರ್ನಾಟಕವು ಸ್ಪರ್ಧೆಯಿಲ್ಲದ ರುಚಿಗಳ ಸ್ಪೆಕ್ಟ್ರಮ್ ಅನ್ನು ನೀಡುತ್ತದೆ."
partnerStories.articles.2.body.1,"Each region brings its own unique ingredients and techniques — the use of coconut in coastal areas, the generous use of tamarind and spices in the southern districts, and the rich, ghee-laden dishes of the northern plains.","ಪ್ರತಿಯೊಂದು ಪ್ರದೇಶವೂ ತನ್ನದೇ ಆದ ವಿಶಿಷ್ಟ ಘಟಕಾಂಶಗಳು ಮತ್ತು ತಂತ್ರಗಳನ್ನು ತರುತ್ತದೆ — ಕರಾವಳಿ ಪ್ರದೇಶಗಳಲ್ಲಿ ತೆಂಗಿನಕಾಯಿಯ ಬಳಕೆ, ದಕ್ಷಿಣ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಹುಣಸೆ ಮತ್ತು ಮಸಾಲೆಗಳ ಉದಾರ ಬಳಕೆ, ಮತ್ತು ಉತ್ತರದ ಬಯಲು ಪ್ರದೇಶಗಳ ಶ್ರೀಮಂತ, ತುಪ್ಪಭರಿತ ಭಕ್ಷ್ಯಗಳು."
partnerStories.articles.2.body.2,"Our partner brands have helped us showcase this incredible diversity through the season, ensuring that every recipe is presented with the respect and authenticity it deserves.","ನಮ್ಮ ಪಾಲುದಾರ ಬ್ರ್ಯಾಂಡ್‌ಗಳು ಈ ಅದ್ಭುತ ವೈವಿಧ್ಯತೆಯನ್ನು ಸೀಸನ್‌ನಾದ್ಯಂತ ಪ್ರದರ್ಶಿಸಲು ನಮಗೆ ಸಹಾಯ ಮಾಡಿವೆ, ಪ್ರತಿಯೊಂದು ಪಾಕವಿಧಾನವೂ ಅದಕ್ಕೆ ಅರ್ಹವಾದ ಗೌರವ ಮತ್ತು ನೈಜತೆಯೊಂದಿಗೆ ಪ್ರಸ್ತುತಪಡಿಸಲ್ಪಡುತ್ತದೆ ಎಂದು ಖಚಿತಪಡಿಸುತ್ತವೆ."
